C02583V03135,NACE higher Group
45,Wholesale and retail trade and repair of motor vehicles and motorcycles
4711,"Retail trade, except of motor vehicles and motorcycles"
4719,"Retail trade, except of motor vehicles and motorcycles"
4730,"Retail trade, except of motor vehicles and motorcycles"
4752,"Retail trade, except of motor vehicles and motorcycles"
4759,"Retail trade, except of motor vehicles and motorcycles"
5630,Food and beverage service activities
V3970,All retail businesses
V3980,Motor trades and automotive fuel 
X1310,"All retail businesses, excluding motor trades and bars"
X1320,"All retail businesses, excluding motor trades"
X1330,"All retail businesses, excluding motor trades, automotive fuel and bars"
X1340,Retail sale of food 
X1350,"Retail sale of non food products, excluding motor trades, automotive fuel and bars"
X1360,"Retail sale of food, beverages and tobacco in specialised stores "
X1370,Retail sale of household equipment 
X1380,Retail sale of electrical goods 
X1390,"Retail sale of textiles, clothing and footwear "
X1400,"Retail sale of books, newspapers, stationery and other goods "
X1410,Other retail sales 
X1420,"Retail sale of books, newspapers and stationery "
X1430,"Retail sale of pharmaceutical, medical and cosmetic articles "